2018-11-01 01:05:21 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2018-11-01 01:05:21 install libc-bin:amd64 <none> 2.27-3ubuntu1
2018-11-01 01:05:21 status half-installed libc-bin:amd64 2.27-3ubuntu1
2018-11-01 01:05:21 status unpacked libc-bin:amd64 2.27-3ubuntu1
2018-11-01 01:05:21 status unpacked libc-bin:amd64 2.27-3ubuntu1
2018-11-01 01:05:21 upgrade libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2018-11-01 01:05:21 status half-configured libc6:amd64 2.27-3ubuntu1
2018-11-01 01:05:21 status unpacked libc6:amd64 2.27-3ubuntu1
2018-11-01 01:05:21 status half-installed libc6:amd64 2.27-3ubuntu1
2018-11-01 01:05:22 status half-installed libc6:amd64 2.27-3ubuntu1
2018-11-01 01:05:22 status unpacked libc6:amd64 2.27-3ubuntu1
2018-11-01 01:05:22 status unpacked libc6:amd64 2.27-3ubuntu1
2018-11-01 01:05:22 install libcap-ng0:amd64 <none> 0.7.7-3.1
2018-11-01 01:05:22 status half-installed libcap-ng0:amd64 0.7.7-3.1
2018-11-01 01:05:22 status unpacked libcap-ng0:amd64 0.7.7-3.1
2018-11-01 01:05:22 status unpacked libcap-ng0:amd64 0.7.7-3.1
2018-11-01 01:05:22 install libcom-err2:amd64 <none> 1.44.1-1
2018-11-01 01:05:22 status half-installed libcom-err2:amd64 1.44.1-1
2018-11-01 01:05:22 status unpacked libcom-err2:amd64 1.44.1-1
2018-11-01 01:05:22 status unpacked libcom-err2:amd64 1.44.1-1
2018-11-01 01:05:22 install libdb5.3:amd64 <none> 5.3.28-13.1ubuntu1
2018-11-01 01:05:22 status half-installed libdb5.3:amd64 5.3.28-13.1ubuntu1
2018-11-01 01:05:22 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2018-11-01 01:05:22 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2018-11-01 01:05:22 install libdebconfclient0:amd64 <none> 0.213ubuntu1
2018-11-01 01:05:22 status half-installed libdebconfclient0:amd64 0.213ubuntu1
2018-11-01 01:05:22 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2018-11-01 01:05:22 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2018-11-01 01:05:22 install libext2fs2:amd64 <none> 1.44.1-1
2018-11-01 01:05:22 status half-installed libext2fs2:amd64 1.44.1-1
2018-11-01 01:05:22 status unpacked libext2fs2:amd64 1.44.1-1
2018-11-01 01:05:22 status unpacked libext2fs2:amd64 1.44.1-1
2018-11-01 01:05:22 install libfdisk1:amd64 <none> 2.31.1-0.4ubuntu3
2018-11-01 01:05:22 status half-installed libfdisk1:amd64 2.31.1-0.4ubuntu3
2018-11-01 01:05:22 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2018-11-01 01:05:22 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2018-11-01 01:05:22 install libgcc1:amd64 <none> 1:8-20180414-1ubuntu2
2018-11-01 01:05:22 status half-installed libgcc1:amd64 1:8-20180414-1ubuntu2
